precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VOINEA GEORGE-SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ZAVELEA LIDIA-ADRIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","IORGA-SĂRĂZAN-STOENESCU MARIAN-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
17,DOLJ,"SCOALA GIMNAZIALA NEGOI",422,NEGOI,73460,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:43",933,861,0,25,47,528,456,0,25,47,508,20,956,428,130,292,86
17,DOLJ,"SCOALA GIMNAZIALA NEGOI",423,NEGOI,73460,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:28",801,764,0,10,27,324,287,0,10,27,303,21,900,576,148,124,31
