precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASILE SILVIU-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","PURCEA VALERIU-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","OCHEA FLORIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NUMĂRUL 1 LUNCA",195,LUNCA,153151,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:59",574,540,0,11,23,398,364,0,11,23,389,9,590,192,8,223,158
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NUMĂRUL 1 LUNCA",194,LUNCA,153151,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:37",864,809,0,10,45,591,536,0,10,45,580,11,890,299,6,363,211
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NUMĂRUL 2 PRUNDU",196,LUNCA,153151,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:35:49",1253,1248,0,5,0,541,536,0,5,0,518,23,1367,826,6,390,122
