precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:58",514,503,2,9,0,224,215,0,9,0,220,4,550,326,111,38,21,20,11,0,13,6
22,HUNEDOARA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”RUDOLF STEINER” (FOSTUL CENTRU DE ZI)",99,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:07:38",1107,1098,0,9,0,357,348,0,9,0,343,14,1200,843,214,17,30,43,6,7,15,11
22,HUNEDOARA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”RUDOLF STEINER” (FOSTUL CENTRU DE ZI)",98,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:52:43",1118,1112,0,6,0,369,363,0,6,0,359,10,1200,831,264,9,24,30,6,2,12,12
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ŞCOALĂ GENERALĂ NR. 3)",84,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:24",1254,1246,1,7,0,614,607,0,7,0,580,34,1400,786,363,48,72,34,23,3,26,11
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ŞCOALĂ GENERALĂ NR. 3)",83,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:51",1236,1221,3,12,0,544,532,0,12,0,535,9,1300,756,328,34,72,41,9,4,33,14
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ȘCOALĂ GENERALĂ NR. 3)",82,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:25",1420,1411,1,8,0,510,502,0,8,0,491,19,1600,1090,301,41,35,57,11,7,27,12
22,HUNEDOARA,"COLEGIUL ECONOMIC ”EMANUIL GOJDU” (FOSTUL LICEU NR. 2)",71,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:35",1257,1250,1,5,1,509,502,1,5,1,486,23,1300,790,276,53,54,35,10,8,31,19
22,HUNEDOARA,"COLEGIUL ECONOMIC ”EMANUIL GOJDU” (FOSTUL LICEU NR. 2)",70,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:56",1139,1131,2,6,0,462,456,0,6,0,445,17,1200,738,258,39,52,42,12,6,23,13
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",73,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:50:11",542,499,0,7,36,542,499,0,7,36,521,21,1200,658,277,63,46,49,20,10,47,9
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",74,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:51",1213,1190,0,5,18,447,426,0,5,16,423,24,1300,853,233,39,45,50,11,1,34,10
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",72,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:46",1338,1297,2,4,35,634,597,0,4,33,618,16,1600,966,325,73,85,56,10,7,48,14
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR. 5)",77,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:05",1210,1201,1,7,1,529,520,1,7,1,504,24,1300,772,268,56,64,47,16,7,26,20
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR. 5)",76,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:48",1094,1086,0,8,0,364,356,0,8,0,346,18,1200,836,193,37,39,28,15,2,21,11
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR. 5)",75,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:43:30",1442,1434,1,7,0,490,483,0,7,0,449,41,1600,1110,260,30,40,56,8,5,31,19
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR.5)",78,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:30",446,373,1,8,64,223,161,0,8,54,212,5,527,310,129,43,15,16,1,0,7,1
