precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JUCAN ALIN-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"INTERNAT ŞCOLAR - OCOLIŞ",330,OCOLIŞ,6119,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:36",251,228,1,15,7,197,175,0,15,7,189,8,261,64,189
1,ALBA,"ȘCOALA PRIMARĂ - RUNC",332,OCOLIŞ,6119,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:41:53",108,98,3,2,5,89,79,3,2,5,87,2,115,26,87
1,ALBA,"ȘCOALA PRIMARĂ - VIDOLM",333,OCOLIŞ,6119,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:35",78,44,0,30,4,69,35,0,30,4,65,4,75,6,65
1,ALBA,"TABĂRA DE CREAȚIE SI ODIHNĂ ”AVRAM IANCU”",331,OCOLIŞ,6119,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:48:13",58,42,0,12,4,48,32,0,12,4,48,0,75,27,48
