precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,2,PART,PRCNCT,CL,CL_SV,"2024-06-18 13:10:18",1718,1694,18,5,1,937,931,0,5,1,890,42,1900,963,62,14,28,25,139,453,138,31
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:17",2030,2002,12,14,2,1136,1118,2,14,2,1114,22,2200,1064,155,58,14,31,122,444,194,96
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",409,GHIRODA,155289,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:25",1853,1822,25,5,1,948,942,0,5,1,921,27,2000,1052,50,18,31,24,122,529,121,26
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",410,GHIRODA,155289,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:00",2007,1986,7,12,2,1006,991,1,12,2,977,29,2180,1174,83,21,13,18,145,543,129,25
