precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRIŢĂ DAVID-PARTIDUL NAȚIONAL LIBERAL-voturi","BADIU FILARET-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DIŢĂ DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","MURGEANU VALENTIN-CLAUDIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII RĂSTOACA",263,RĂSTOACA,178956,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:02",1189,1148,0,6,35,683,642,0,6,35,660,23,1301,618,321,58,81,200
41,VRANCEA,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII RĂSTOACA",264,RĂSTOACA,178956,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:16",828,805,0,3,20,486,463,0,3,20,460,26,908,422,217,54,57,132
