precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","VRÂNCEAN ALEXANDRU-voturi"
15,COVASNA,"CĂMINUL CULTURAL LISNĂU",173,OZUN,64639,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:29:55",441,436,2,3,0,199,196,0,3,0,191,8,500,301,23,154,8,6
15,COVASNA,"CĂMINUL CULTURAL OZUN",170,OZUN,64639,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:43:08",941,929,3,0,9,403,394,0,0,9,380,23,1022,619,43,299,31,7
15,COVASNA,"CLĂDIREA CĂMINULUI CULTURAL BICFALĂU",172,OZUN,64639,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:11",314,302,4,2,6,168,160,0,2,6,155,13,300,132,9,137,5,4
15,COVASNA,"CLĂDIRE ADMINISTRATIVĂ (FOSTUL SEDIU AL ŞCOLII) LUNCA OZUNULUI",174,OZUN,64639,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:43:40",156,144,0,5,7,89,77,0,5,7,77,12,200,111,16,18,0,43
15,COVASNA,"CLĂDIREA FOSTEI BIBLIOTECI (CONACUL PÜNKÖSTI)",171,OZUN,64639,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:38",1187,1181,1,0,5,604,599,0,0,5,587,17,1300,696,67,457,43,20
15,COVASNA,"CLĂDIREA ȘCOLII ELEMENTARE",175,OZUN,64639,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:01:47",102,95,0,6,1,53,46,0,6,1,52,1,100,47,2,48,2,0
15,COVASNA,"ŞCOALA PRIMARĂ ”BERDE MOZSA” SÎNTIONLUNCA",176,OZUN,64639,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:27:09",624,615,0,3,6,295,286,0,3,6,286,9,700,405,11,270,5,0
