precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FURDUI EUGEN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOIA AMBROZIE-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MORARIU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DARIE TICĂ-voturi"
1,ALBA,"LOCUINȚE SOCIALE - CĂRPINIȘ",364,"ROŞIA MONTANĂ",6761,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:30:11",659,655,1,0,3,440,437,0,0,3,430,9,719,278,177,56,163,34
1,ALBA,"PRIMARIA COMUNEI ROȘIA MONTANĂ",362,"ROŞIA MONTANĂ",6761,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:32:32",616,598,0,14,4,430,412,0,14,4,423,7,661,231,175,27,101,120
1,ALBA,"ȘCOALA CU CLASELE I-IV - CORNA",365,"ROŞIA MONTANĂ",6761,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:28",111,105,0,6,0,83,77,0,6,0,82,1,119,36,42,13,19,8
1,ALBA,"ŞCOALA CU CLASELE I-IV - GURA ROȘIEI",363,"ROŞIA MONTANĂ",6761,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:27:45",622,614,0,4,4,479,471,0,4,4,455,24,679,200,144,23,235,53
1,ALBA,"ŞCOALA CU CLASELE I-IV - VÎRTOP",366,"ROŞIA MONTANĂ",6761,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:35",179,169,0,10,0,142,132,0,10,0,140,2,184,42,74,35,24,7
