precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TĂNASE SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","VIŞAN CLAUDIU-GEORGIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIUREA CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL DÂMBROCA",342,SĂGEATA,49073,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:34:15",1016,966,0,7,43,675,625,0,7,43,660,15,1060,385,414,193,53
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL SĂGEATA",338,SĂGEATA,49073,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:14",1021,970,0,8,43,701,650,0,8,43,679,22,1126,425,572,48,59
10,BUZĂU,"SCOALA BANIŢA",339,SĂGEATA,49073,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:24",222,206,0,11,5,147,131,0,11,5,144,3,230,83,88,25,31
10,BUZĂU,"ŞCOALA BEILIC",340,SĂGEATA,49073,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:45:20",286,273,0,6,7,208,195,0,6,7,198,10,307,99,149,33,16
10,BUZĂU,"ŞCOALA BORDUŞANI",341,SĂGEATA,49073,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:24:40",327,301,0,9,17,229,203,0,9,17,228,1,330,101,173,22,33
10,BUZĂU,"ŞCOALA GĂVĂNEŞTI",343,SĂGEATA,49073,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:50",770,723,0,14,33,478,432,0,14,32,466,12,830,352,362,46,58
