precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
3,ARGEŞ,"GRĂDINIŢA GRUI",261,"BUGHEA DE SUS",20063,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:44",710,694,1,5,10,482,467,0,5,10,463,19,800,318,296,130,31,6
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ NR. 1 BUGHEA DE SUS",260,"BUGHEA DE SUS",20063,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:41",1706,1685,0,0,21,1045,1024,0,0,21,893,149,1851,809,430,256,130,77
