precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL MOŢĂIENI",309,MOŢĂIENI,65645,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:47:31",1315,1278,2,6,29,790,755,0,6,29,767,23,1432,642,444,292,31
16,DÂMBOVIŢA,"ŞCOALA CUCUTENI",310,MOŢĂIENI,65645,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:42",333,317,1,0,15,224,208,1,0,15,218,5,360,137,154,60,4
