precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","FORȚA DREPTEI-voturi"
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 1 JOIȚA",169,JOIŢA,103997,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:32:49",1897,1847,2,37,11,1192,1144,0,37,11,1139,53,2034,842,47,578,114,201,72,101,26
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 2 BÎCU",170,JOIŢA,103997,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:07:51",1532,1439,3,82,8,1072,982,0,82,8,1033,39,1580,508,121,278,79,462,11,76,6
