precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MORARU CRISTINEL-voturi"
41,VRANCEA,"ȘCOALA GIMNAZIALĂ SPULBER",287,SPULBER,178965,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:48:28",911,871,0,11,29,657,617,0,11,29,626,26,991,339,152,314,63,97
41,VRANCEA,"ȘCOALA PRIMARĂ PĂVĂLARI",288,SPULBER,178965,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:59:12",102,96,0,6,0,70,64,0,6,0,67,3,105,35,23,39,3,2
