precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VĂDUVA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","CALOTĂ MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","TAURU BEBE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
20,GORJ,"GRĂDINIŢA HOTĂROASA",328,URDARI,82733,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:14:17",440,429,0,8,3,302,291,0,8,3,289,13,500,198,130,115,44
20,GORJ,"ŞCOALA GIMNAZIALĂ FÂNTÂNELE",329,URDARI,82733,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:23:44",767,761,0,1,5,547,541,0,1,5,530,17,874,327,48,285,197
20,GORJ,"ŞCOALA GIMNAZIALĂ NR. 1 URDARI",327,URDARI,82733,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:05",1310,1285,0,9,16,869,844,0,9,16,856,13,1400,531,140,437,279
