precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TAKÁCS SZABOLCS-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CHEŞA DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","TANCĂU ALINA-BIANCA-UNIUNEA SALVAȚI ROMÂNIA-voturi","OLTEAN ELVIRA-PARTIDUL SOCIAL DEMOCRAT-voturi","COMAN IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
28,MUREŞ,"CĂMINUL CULTURAL BOZENI",318,CORUNCA,120487,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:55:09",132,127,0,1,4,84,79,0,1,4,82,2,160,76,74,6,1,1,0
28,MUREŞ,"CĂMINUL CULTURAL CORUNCA",316,CORUNCA,120487,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:41",1541,1512,6,3,20,824,800,1,3,20,790,34,1660,836,595,102,56,24,13
28,MUREŞ,"CĂMINUL CULTURAL CORUNCA",317,CORUNCA,120487,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:38",1729,1696,14,13,6,1076,1057,0,13,6,1055,21,1841,759,377,223,290,71,94
