precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV BISTRIŢA",201,COSTEŞTI,169253,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:08",695,655,1,20,19,411,372,0,20,19,391,20,750,339,4,183,131,29,16,28
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV PIETRENI",202,COSTEŞTI,169253,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:38",413,397,1,0,15,324,308,1,0,15,310,11,440,119,6,137,92,25,26,24
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII COSTEŞTI",200,COSTEŞTI,169253,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:26",1109,999,0,54,56,1109,999,0,54,56,1096,13,1640,531,12,450,368,140,28,98
