precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STÂNGĂ GEORGE-CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","FOTEA COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","TONIŢĂ MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFAN VASILE-PARTIDUL PRO ROMÂNIA-voturi","MITROFAN LIVIU-ROMÂNIA SOCIALISTĂ-voturi","IORDĂCHIŢĂ GABRIELA-VIOLETA-PARTIDUL S.O.S. ROMÂNIA-voturi","MARIN ROMEO-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DOBROVICI-BACALBAŞA NICOLAE-PARTIDUL CONSERVATOR DEMOCRAT-voturi","POTEC NICOLAE-PETRIŞOR-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
18,GALAŢI,"AȘEZĂMÂNTUL CULTURAL NEGREA",393,SCHELA,77153,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:02",542,514,1,8,19,340,312,1,8,19,325,15,604,264,118,176,10,0,0,6,2,0,13
18,GALAŢI,"BIBLIOTECA COMUNALA",350,MOVILENI,76745,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:42:18",1553,1525,2,10,16,735,709,0,10,16,666,69,1700,965,210,266,129,10,0,29,3,1,18
18,GALAŢI,"CĂMIN CULTURAL",239,BEREŞTI-MERIA,75356,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:55:30",219,209,0,10,0,118,108,0,10,0,114,4,228,110,19,81,4,0,0,3,1,2,4
18,GALAŢI,"CAMIN CULTURAL BURSUCANI",225,BĂLĂBĂNEŞTI,75542,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:21:46",482,480,0,1,1,261,259,0,1,1,247,14,529,268,63,163,11,5,0,2,1,0,2
18,GALAŢI,"CĂMIN CULTURAL DIN SAT FURCENII VECHI",275,COSMEŞTI,76040,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:17:55",1275,1251,1,6,17,571,548,0,6,17,553,13,1375,809,120,296,56,10,4,19,3,4,41
18,GALAŢI,"CĂMIN CULTURAL ”G-RAL EREMIA GRIGORESCU”",271,COSMEŞTI,76040,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:30:44",1211,1181,1,5,24,542,515,0,5,22,515,27,1360,818,85,304,47,13,0,21,3,2,40
18,GALAŢI,"CĂMIN CULTURAL OANCEA",368,OANCEA,76932,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:35:54",1287,1216,0,6,65,714,643,0,6,65,704,10,1200,486,78,570,13,1,1,18,3,2,18
18,GALAŢI,"CĂMIN CULTURAL PECHEA",374,PECHEA,76969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:31:54",1936,1928,2,6,0,769,763,0,6,0,730,39,2200,1431,132,464,47,7,1,17,38,2,22
18,GALAŢI,"CĂMIN CULTURAL UMBRĂREȘTI",218,"ORAŞ TÂRGU BUJOR",75472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:06",907,878,0,11,18,510,481,0,11,18,464,17,967,486,124,311,9,1,3,9,2,0,5
18,GALAŢI,"CAMINUL CULTURAL",437,VLĂDEŞTI,77536,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:53",1200,1137,0,11,52,552,489,0,11,52,525,27,1318,766,97,347,72,2,2,3,1,1,0
18,GALAŢI,"CAMINUL CULTURAL",389,SCÂNTEIEŞTI,77126,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:39:26",740,709,0,1,30,408,377,0,1,30,387,21,830,422,182,161,19,0,0,12,7,0,6
18,GALAŢI,"CAMINUL CULTURAL",390,SCÂNTEIEŞTI,77126,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:05:20",1300,1236,1,7,56,720,657,0,7,56,666,54,1357,625,101,492,26,2,0,32,10,0,3
18,GALAŢI,"CĂMINUL CULTURAL BĂLĂBĂNEŞTI",224,BĂLĂBĂNEŞTI,75542,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:13:43",595,592,0,3,0,355,352,0,3,0,340,15,651,296,83,220,21,1,1,10,0,1,3
18,GALAŢI,"CĂMINUL CULTURAL BĂLĂŞEŞTI",227,BĂLĂŞEŞTI,75613,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:00:11",926,888,0,1,37,544,506,0,1,37,522,22,990,445,48,422,35,3,0,5,2,1,6
18,GALAŢI,"CAMINUL CULTURAL COSTACHE NEGRI",277,"COSTACHE NEGRI",76111,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:08:21",1123,1040,0,39,44,635,552,0,39,44,615,20,1141,506,135,357,16,52,0,8,40,0,7
18,GALAŢI,"CAMINUL CULTURAL COSTACHE NEGRI",276,"COSTACHE NEGRI",76111,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:00:28",1239,1187,0,28,24,685,633,0,28,24,661,24,1303,618,125,357,42,39,1,17,51,0,29
18,GALAŢI,"CĂMINUL CULTURAL CUCA",278,CUCA,76139,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:51:35",865,833,0,10,22,546,514,0,10,22,515,31,939,393,146,289,29,5,6,13,1,1,25
18,GALAŢI,"CAMINUL CULTURAL DIN SATUL DRĂGĂNEŞTI",287,DRĂGĂNEŞTI,75221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:00:35",1998,1986,0,6,6,918,906,0,6,6,835,83,2121,1202,349,346,63,2,7,38,10,2,18
18,GALAŢI,"CĂMINUL CULTURAL DIN SATUL NEGRILEŞTI",359,NEGRILEŞTI,77579,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:58:08",1455,1326,1,43,85,808,682,1,42,83,787,21,1436,628,51,663,32,3,2,31,2,1,2
18,GALAŢI,"CĂMINUL CULTURAL FÂRȚĂNEȘTI",296,FÂRŢĂNEŞTI,76255,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:12",1354,1348,1,2,3,571,566,0,2,3,551,20,1483,912,16,480,27,3,0,16,3,0,6
