precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢIFUI DUMITRU-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ANDRIESCU - TELIUŢĂ ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"CĂMINUL CULTURAL",273,FARCAŞA,122551,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:01",725,719,0,6,0,381,375,0,6,0,359,22,800,419,321,38
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ” IOAN LUCA ”",272,FARCAŞA,122551,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:10",1126,1124,1,0,1,548,547,0,0,1,533,15,1200,652,458,75
29,NEAMŢ,"ȘCOALA PRIMARĂ STEJARU",274,FARCAŞA,122551,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:06:25",637,636,0,1,0,326,325,0,1,0,317,9,700,374,292,25
