precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂUŢ PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","IVAN-BOGDAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NÉMETH JÓZSEF-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
2,ARAD,"PRIMĂRIA COMUNEI OLARI",320,OLARI,11502,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:02",1263,1216,1,14,32,764,717,1,14,32,690,74,1380,616,450,136,104
2,ARAD,"ŞCOALA PRIMARĂ SINTEA MICĂ",321,OLARI,11502,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:31",326,316,0,7,3,182,172,0,7,3,178,4,351,169,142,31,5
