precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFĂNESCU EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi","ZAHARIA ELENA-GABRIELA-PARTIDUL SOCIAL DEMOCRAT-voturi"
23,IALOMIŢA,"ŞCOALA GENERALĂ GHEORGHE LAZĂR",151,"GHEORGHE LAZĂR",93628,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:20",1023,978,7,3,35,594,554,2,3,35,573,21,1120,526,51,522
23,IALOMIŢA,"ŞCOALA GENERALĂ GHEORGHE LAZĂR",152,"GHEORGHE LAZĂR",93628,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:31",760,722,0,8,30,460,422,0,8,30,448,12,841,381,44,404
