precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPOIU IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PINTILIE PETRU-ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUFĂ IONEL-FORȚA DREPTEI-voturi","PORUMB CĂTĂLIN-NICOLAE-voturi"
18,GALAŢI,"CĂMINUL CULTURAL RĂDEŞTI",385,RĂDEŞTI,77561,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:08:50",878,854,0,12,12,514,490,0,12,12,487,27,938,424,227,67,12,10,171
18,GALAŢI,"GRĂDINIŢA CU PROGRAM NORMAL CRUCEANU",386,RĂDEŞTI,77561,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:29:42",249,243,0,6,0,152,146,0,6,0,150,2,283,131,80,11,0,6,53
