precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILEA CORNEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LĂSCĂU VASILE-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOCAN EMIL-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BEGA DANIEL-MARCEL-ALIANȚA PMP - FORȚA DREPTEI-voturi"
28,MUREŞ,"CAMIN CULTURAL",305,CHEŢANI,116046,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:45",468,449,1,11,7,288,270,0,11,7,281,7,507,219,12,77,85,107
28,MUREŞ,"CAMIN CULTURAL HADARENI",306,CHEŢANI,116046,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:54",656,653,1,1,1,370,368,0,1,1,353,17,725,355,36,58,118,141
28,MUREŞ,"SEDIUL PRIMARIEI CHETANI",304,CHEŢANI,116046,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:23:36",926,910,0,11,5,583,567,0,11,5,568,15,1008,425,42,115,228,183
