precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROGOZ SIMION-PARTIDUL SOCIAL DEMOCRAT-voturi","SELIŞTEAN VASILE-TRAIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
33,SĂLAJ,"CENTRUL CULTURAL CEACA",305,ZALHA,143067,2,PART,PRCNCT,P,P_SV,"2024-06-13 14:01:28",177,151,0,18,8,139,113,0,18,8,134,5,170,31,72,62
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV CIURENI",306,ZALHA,143067,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:47:32",124,106,0,14,4,108,90,0,14,4,107,1,120,12,47,60
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV VALEA HRANEI",307,ZALHA,143067,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:20",72,51,0,18,3,62,41,0,18,3,55,7,70,8,34,21
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV VALEA LUNGĂ",308,ZALHA,143067,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:54",130,109,0,16,5,114,93,0,16,5,113,1,120,6,58,55
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ NR.1 ZALHA",304,ZALHA,143067,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:57:42",272,200,2,63,7,208,136,2,63,7,207,1,220,12,64,143
