precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",238,DOMAŞNEA,52721,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:36:33",320,276,0,21,23,266,222,0,21,23,254,12,330,64,20,51,19,164
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",237,DOMAŞNEA,52721,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:40",831,702,1,83,45,634,506,0,83,45,615,17,822,188,285,259,27,44
