precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi"
24,IAŞI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ - ȘOROGARI",328,ARONEANU,95747,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:13",382,372,2,6,2,190,182,0,6,2,187,3,400,210,89,23,31,0,6,34,3,0,1
24,IAŞI,"BIBLIOTECĂ-CĂMIN CULTURAL ȘIPOTE",688,ŞIPOTE,99370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:00",643,643,0,0,0,301,301,0,0,0,284,17,700,399,90,40,141,1,3,7,1,1,0
24,IAŞI,"BIBLIOTECA MATEI MILLO",671,STOLNICENI-PRĂJESCU,99165,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:39",1213,1202,1,10,0,674,663,1,10,0,637,37,1300,626,134,63,358,0,33,32,6,4,7
24,IAŞI,"CĂMIN CULTURAL",576,MOŢCA,98220,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:49",1526,1520,0,1,5,763,757,0,1,5,698,65,1700,937,212,113,311,3,30,20,3,4,2
24,IAŞI,"CĂMIN CULTURAL",577,MOŢCA,98220,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:05:30",1460,1454,0,3,3,707,701,0,3,3,638,69,1600,893,179,95,313,0,31,10,2,7,1
24,IAŞI,"CĂMIN CULTURAL BĂLȚAȚI",332,BĂLŢAŢI,95792,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:19",1677,1629,1,3,44,887,840,0,3,44,830,57,1764,872,194,88,390,6,36,93,6,7,10
24,IAŞI,"CĂMIN CULTURAL BERSUC DEAL",522,LESPEZI,97606,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:37",664,652,0,11,1,354,342,0,11,1,323,31,700,346,67,57,164,2,13,14,2,3,1
24,IAŞI,"CĂMIN CULTURAL BÎCU",518,IPATELE,97553,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:32",412,406,0,4,2,229,223,0,4,2,215,14,500,271,52,9,135,1,5,12,1,0,0
24,IAŞI,"CAMIN CULTURAL BIRNOVA",337,BÂRNOVA,95088,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:40:47",1255,1252,0,2,1,741,738,0,2,1,701,40,1400,659,253,60,128,39,76,115,4,5,21
24,IAŞI,"CĂMIN CULTURAL COROPCENI",370,CIORTEŞTI,96192,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:50",824,823,0,1,0,429,428,0,1,0,398,31,900,471,314,8,55,1,8,10,2,0,0
24,IAŞI,"CĂMIN CULTURAL CUZA-VODĂ",519,IPATELE,97553,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:04:23",405,395,0,4,6,229,219,0,4,6,219,10,400,171,20,8,169,0,4,17,0,1,0
24,IAŞI,"CĂMIN CULTURAL DOLHEȘTI",439,DOLHEŞTI,96904,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:50",558,542,1,7,8,300,293,0,7,0,282,18,600,300,154,13,88,0,3,21,1,0,2
24,IAŞI,"CĂMIN CULTURAL FORĂŞTI",479,GROPNIŢA,97321,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:53:13",431,423,0,1,7,431,423,0,1,7,243,21,500,236,48,28,151,3,8,2,1,1,1
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",485,HĂLĂUCEŞTI,97438,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:11",1342,1308,1,5,28,563,530,0,5,28,522,41,1400,837,314,73,51,6,9,60,4,2,3
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",486,HĂLĂUCEŞTI,97438,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:25",1202,1157,0,4,41,627,582,0,4,41,549,33,1300,718,281,104,57,5,30,61,2,1,8
24,IAŞI,"CĂMIN CULTURAL PÂRCOVACI",297,"ORAŞ HÂRLĂU",95355,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:52:38",1496,1486,0,7,3,803,793,0,7,3,750,53,1600,797,385,52,247,1,21,35,4,1,4
24,IAŞI,"CĂMIN CULTURAL POCREACA",651,"SCHITU DUCA",98827,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:08:07",328,313,0,8,7,197,182,0,8,7,180,17,400,203,108,6,45,0,2,17,1,1,0
24,IAŞI,"CĂMIN CULTURAL - SALA II OTELENI",584,OŢELENI,98300,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:14:23",1046,1007,0,7,32,534,495,0,7,32,481,21,1100,598,223,99,120,3,3,21,3,1,8
24,IAŞI,"CĂMIN CULTURAL - SALA I OTELENI",583,OŢELENI,98300,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:06:20",979,947,0,4,28,532,500,0,4,28,494,38,1100,568,233,116,108,1,8,24,2,0,2
24,IAŞI,"CĂMIN CULTURAL TABĂRA",355,BIVOLARI,95943,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:51",852,846,0,6,0,333,327,0,6,0,309,24,900,567,106,25,137,3,11,25,0,1,1
24,IAŞI,"CĂMIN CULTURAL VICTORIA",764,VICTORIA,100004,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:05:15",387,373,1,8,5,210,201,1,8,0,200,1,400,1,110,25,40,0,7,14,0,3,1
24,IAŞI,"CĂMIN CULTURAL VICTORIA",763,VICTORIA,100004,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:38",1370,1338,2,15,15,710,680,0,15,15,674,36,1500,790,353,100,126,10,25,31,8,18,3
24,IAŞI,"CĂMINUL CULTURAL",456,FOCURI,97063,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:13",1476,1464,0,1,11,708,696,0,1,11,659,49,1600,892,308,48,267,2,19,10,2,0,3
24,IAŞI,"CĂMINUL CULTURAL BOROSEŞTI",644,SCÂNTEIA,98916,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:40",679,665,0,6,8,332,318,0,6,8,306,26,700,368,207,26,44,1,3,22,0,0,3
24,IAŞI,"CĂMINUL CULTURAL BOURENI",578,MOŢCA,98220,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:37",1155,1127,0,5,23,530,502,0,5,23,493,37,1300,770,105,61,298,2,17,6,2,1,1
24,IAŞI,"CĂMINUL CULTURAL DRĂGUŞENI",442,DRĂGUŞENI,100308,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:35",725,714,0,2,9,395,384,0,2,9,365,30,800,405,175,11,157,10,5,3,0,2,2
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",495,HOLBOCA,95159,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:26",1681,1681,0,0,0,854,854,0,0,0,818,36,1800,946,454,108,90,8,29,71,4,28,26
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",496,HOLBOCA,95159,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:09:46",1734,1720,2,10,2,899,887,0,10,2,861,38,1900,1001,455,104,102,13,35,92,7,28,25
24,IAŞI,"CĂMINUL CULTURAL TUNGUJEI",734,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:33",470,462,0,4,4,191,183,0,4,4,175,16,500,309,56,9,77,0,9,17,4,1,2
24,IAŞI,"CAMINUL CULTURAL VINATORI",758,VÂNĂTORI,100086,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:38",885,854,0,17,14,498,467,0,17,14,474,23,1000,502,60,25,347,5,11,22,1,0,3
24,IAŞI,"CANTONUL PETREŞTI ADMINISTRAT DE CĂTRE ADMINISTRAŢIA BAZINALĂ DE APĂ PRUT-BÂRLAD",462,GOLĂIEŞTI,97090,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:56",243,236,0,5,2,130,123,0,5,2,121,9,300,170,66,3,39,0,5,7,0,1,0
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",316,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:54",1906,1896,1,4,5,803,794,0,4,5,764,39,2000,1197,275,82,315,9,23,40,6,4,10
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",315,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:27",1482,1476,0,6,0,640,634,0,6,0,616,24,1600,960,230,81,233,4,17,36,1,7,7
