precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MINEA MIRCEA-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢUCMEANU BOGDAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","DUŢĂ MARIUS-MUGUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ORHEANU DRAGOŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","NEACŞU ANDREI-DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","MĂRGĂRINT DOREL-GHEORGHE-PARTIDUL VERDE-voturi","BURTEA DANIEL-FLORIN-FORȚA DREPTEI-voturi","PAVEL TEODOR-IULIAN-PARTIDUL OAMENILOR TINERI-voturi"
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:46",1825,1809,0,16,0,509,493,0,16,0,504,5,2000,1491,94,200,34,77,21,41,12,25
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:25:55",1711,1679,24,8,0,470,461,1,8,0,449,2,1842,1372,117,171,29,67,8,32,11,14
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:45:58",1444,1429,4,11,0,661,650,0,11,0,650,11,1639,978,178,259,33,94,17,34,19,16
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:48:33",2050,2013,7,30,0,597,567,0,30,0,588,9,2200,1603,196,172,39,104,20,29,9,19
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",175,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:30:07",1691,1668,8,15,0,723,708,0,15,0,716,7,1790,1067,176,278,41,125,18,29,10,39
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",174,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:31:00",1979,1938,18,19,4,785,762,0,19,4,768,17,2150,1365,347,155,41,104,41,40,25,15
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",172,CHIAJNA,179249,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:17:33",1715,1696,6,11,2,901,882,6,11,2,859,42,1900,999,533,110,48,73,42,21,21,11
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",173,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:34:54",1912,1873,9,29,1,957,927,0,29,1,927,30,2100,1143,446,211,55,105,42,24,26,18
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA",162,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:36:07",1827,1814,0,13,0,1143,1130,0,13,0,1115,28,2000,857,787,133,31,60,14,35,36,19
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",165,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:52:27",1825,1799,5,20,1,1061,1040,0,20,1,1049,12,2000,939,646,192,63,67,17,32,20,12
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",166,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:45",2018,1977,26,15,0,549,534,0,15,0,541,8,2150,1601,140,163,51,73,47,33,9,25
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",164,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:38:23",1981,1960,6,15,0,1024,1008,1,15,0,1001,23,2150,1126,547,201,47,87,46,39,20,14
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",163,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:39",1972,1954,0,17,1,1068,1050,0,17,1,1042,26,2100,1032,585,201,49,96,20,32,44,15
25,ILFOV,"SCOALA GIMNAZIALA ” PETRU RARES”",167,CHIAJNA,179249,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:03:21",1975,1920,23,32,0,853,821,0,32,0,840,13,2100,1247,320,243,33,115,31,45,23,30
25,ILFOV,"SCOALA GIMNAZIALA ”PETRU RARES”",170,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:33",1990,1946,22,22,0,628,606,0,22,0,623,5,2100,1472,185,209,23,102,27,34,12,31
25,ILFOV,"SCOALA GIMNAZIALA ”PETRU RARES””",168,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:41",1972,1924,27,21,0,631,610,0,21,0,623,8,2097,1466,139,241,25,100,17,39,13,49
25,ILFOV,"SCOALA GIMNAZIALA” PETRU RARES”",169,CHIAJNA,179249,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:47",1991,1955,18,18,0,689,671,0,18,0,674,15,2150,1461,145,276,29,120,20,45,15,24
