precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PROGRESIST-voturi"
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2",368,PODOLENI,123674,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:13",1218,1211,0,5,2,595,588,0,5,2,575,20,1300,705,14,41,216,297,7
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",371,PODOLENI,123674,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:29",851,838,0,7,6,443,430,0,7,6,431,12,900,457,9,24,147,247,4
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU PODOLEANU”",369,PODOLENI,123674,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:21:53",996,975,1,6,14,526,506,0,6,14,496,25,1100,579,8,38,178,263,9
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU PODOLEANU”",370,PODOLENI,123674,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:11:38",1135,1125,0,3,7,584,574,0,3,7,569,15,1200,616,13,17,188,343,8
29,NEAMŢ,"ŞCOALA PRIMARĂ NEGRITEŞTI",372,PODOLENI,123674,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:59:15",286,277,0,8,1,154,145,0,8,1,144,10,300,146,3,10,54,76,1
