precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ACȚIUNEA CONSERVATORILOR ROMÂNI-voturi"
20,GORJ,"CĂMINUL CULTURAL ”MIHAI EMINESCU”",208,DRĂGOTEŞTI,80249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:59",913,888,0,3,22,582,557,0,3,22,579,3,1000,418,73,341,40,62,54,9
20,GORJ,"ȘCOALA GENERALĂ COROBĂI",209,DRĂGOTEŞTI,80249,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:00:03",1064,1045,0,4,15,635,616,0,4,15,606,29,1175,540,102,357,10,114,7,16
