precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”V.I. POPA”",281,DODEŞTI,167286,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:57",1112,1025,0,7,80,687,600,0,7,80,657,30,1222,535,31,37,442,147
39,VASLUI,"ŞCOALA PRIMARĂ URDEŞTI",282,DODEŞTI,167286,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:55",212,194,0,10,8,133,115,0,10,8,124,9,221,88,17,6,69,32
