precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DANCIU IONELA-MARIANA-voturi"
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:48",98,90,0,8,0,56,48,0,8,0,55,1,100,44,15,23,9,1,1,1,5
1,ALBA,"COLEGIUL NAŢIONAL ”TITU MAIORESCU” AIUD",63,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:44:00",1424,1395,1,4,24,682,654,0,4,24,669,13,1513,831,286,171,44,90,26,7,45
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎMBAŞ",68,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:50:36",229,216,0,12,1,229,216,0,12,1,222,2,453,229,89,45,13,65,2,3,5
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVA DE SUS",73,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:21:05",203,195,0,8,0,95,87,0,8,0,94,1,220,125,45,22,19,2,1,1,4
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVIŢA",74,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:28:53",104,97,0,7,0,48,41,0,7,0,46,2,107,59,26,8,2,2,2,1,5
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL MĂGINA",69,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:20",473,466,0,6,1,233,226,0,6,1,230,3,512,279,86,97,17,5,6,4,15
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",57,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:01:38",1060,1050,4,6,0,540,534,0,6,0,501,39,1148,608,235,131,31,56,21,8,19
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",56,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:49",407,398,0,6,3,398,389,0,6,3,398,0,968,570,135,102,34,87,18,4,18
1,ALBA,"LICEUL TEHNOLOGIC AGRICOL ”ALEXANDRU BORZA” CIUMBRUD",71,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:20",1055,1049,0,3,3,545,539,0,3,3,527,18,1200,655,226,103,47,122,2,1,26
1,ALBA,"LICEUL TEHNOLOGIC AIUD",65,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:46:08",637,628,0,7,2,292,283,0,7,2,281,2,700,417,77,100,19,41,25,8,11
1,ALBA,"LICEUL TEHNOLOGIC AIUD",64,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:36",720,712,0,7,1,322,314,0,7,1,320,2,800,478,127,82,15,54,16,5,21
1,ALBA,"SALA DE FESTIVITĂŢI DIN SÎNCRAI",75,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:01",556,550,0,2,4,291,285,0,2,4,275,6,609,328,118,63,18,57,0,4,15
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",60,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:59",1110,1106,0,3,1,504,500,0,3,1,492,12,1220,716,238,98,42,56,23,6,29
