precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STANA COZMIN-PETRUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","ENACHE-MIHALACHE AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi"
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",231,DOICEŞTI,65413,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:38:41",1543,1524,2,5,12,899,882,0,5,12,884,15,1690,791,762,122
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 DOICEȘTI",232,DOICEŞTI,65413,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:42:46",821,806,3,9,3,469,457,0,9,3,462,7,890,421,317,145
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.3 DOICEȘTI",230,DOICEŞTI,65413,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:34:02",1525,1502,0,4,19,862,839,0,4,19,848,14,1676,814,683,165
