precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TIMIŞAG DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","PALADI CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PAVEL PETRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 BURLEȘTI",400,UNŢENI,39532,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:10:58",502,492,0,6,4,286,276,0,6,4,278,8,588,302,66,190,22
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR.1 UNŢENI",399,UNŢENI,39532,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:30:21",951,922,1,6,22,490,462,0,6,22,454,36,1000,510,300,120,34
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR.2 MÂNĂSTIRENI",401,UNŢENI,39532,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:45:36",620,609,0,8,3,280,269,0,8,3,268,12,686,406,29,169,70
