precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LIXANDRU GEORGE-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GEORGESCU RADU-NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"GRĂDINIŢA BUMBUIA",254,"GURA FOII",65707,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:19",359,340,0,9,10,282,263,0,9,10,277,5,390,108,73,204
16,DÂMBOVIŢA,"SALA DE FESTIVITĂŢI FĂGETU",255,"GURA FOII",65707,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:57",301,296,0,4,1,235,230,0,4,1,228,7,330,95,122,106
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ GURA FOII",253,"GURA FOII",65707,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:01",1213,1169,2,18,24,916,872,2,18,24,896,18,1274,360,383,513
