precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHICA PAUL-VLĂDUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LĂZĂRICĂ NICOLAE-CLEMENT-PARTIDUL NAȚIONAL LIBERAL-voturi","AVRĂMIA BRĂDUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","IVLEV DOINA-MIHAIELA-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","GRIGORAŞ EMIL-voturi"
35,SUCEAVA,"SCOALA ANTOCENI",311,FORĂŞTI,148514,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:27",263,252,0,5,6,147,136,0,5,6,143,4,320,173,12,68,53,8,2
35,SUCEAVA,"SCOALA GIMNAZIALA ONICENI",315,FORĂŞTI,148514,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:11:52",749,737,1,3,8,401,390,0,3,8,391,10,840,439,32,130,195,21,13
35,SUCEAVA,"SCOALA PRIMARA BOURA",312,FORĂŞTI,148514,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:44:42",467,452,1,5,9,262,248,0,5,9,250,12,511,249,9,80,129,31,1
35,SUCEAVA,"SCOALA PRIMARA RUSI",317,FORĂŞTI,148514,2,PART,PRCNCT,P,P_SV,"2024-06-13 14:51:03",311,301,0,5,5,196,186,0,5,5,192,4,323,127,22,53,108,9,0
35,SUCEAVA,"SCOALA PRIMARA UIDESTI",319,FORĂŞTI,148514,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:07:59",137,131,0,5,1,86,80,0,5,1,83,3,150,64,1,22,55,5,0
35,SUCEAVA,"SCOALA ROSIORI",316,FORĂŞTI,148514,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:33:12",295,280,0,8,7,168,153,0,8,7,163,5,315,147,20,27,105,10,1
35,SUCEAVA,"SCOALA TOLESTI",318,FORĂŞTI,148514,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:43:46",306,297,0,5,4,196,187,0,5,4,188,8,330,134,3,110,68,6,1
35,SUCEAVA,"SCOALA VIISOARA, CATUN VIISOARA",314,FORĂŞTI,148514,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:27",164,157,0,3,4,101,94,0,3,4,98,3,180,79,3,30,60,5,0
35,SUCEAVA,"SEDIUL FOSTEI PRIMARII MANOLEA",313,FORĂŞTI,148514,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:41",379,367,0,7,5,220,208,0,7,5,213,7,420,200,11,55,129,17,1
35,SUCEAVA,"SEDIUL PRIMARIEI FORASTI",310,FORĂŞTI,148514,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:12",476,457,0,4,15,270,251,0,4,15,255,15,535,265,24,80,139,6,6
