precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SCORŢANU GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PANŢIRU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MURARIU VIOREL-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
24,IAŞI,"CĂMINUL CULTURAL",456,FOCURI,97063,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:13",1476,1464,0,1,11,708,696,0,1,11,683,25,1600,892,41,291,351
24,IAŞI,"GRĂDINIŢA NR. 2, PĂŞCĂNENI",457,FOCURI,97063,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:34",1526,1524,0,0,2,716,714,0,0,2,674,40,1684,970,27,208,439
