precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP ZAHARIE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BECAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","FEIER DANIEL-NARCIS-ALI-PARTIDUL SOCIAL DEMOCRAT-voturi","LAKATOS ZSOLT-JANCSI-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BENDEAN DUMITRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MICEŞTII DE CÎMPIE",188,"MICEŞTII DE CÂMPIE",33845,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:26",260,217,0,26,17,196,153,0,26,17,185,11,250,54,9,39,12,2,123
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VISUIA",190,"MICEŞTII DE CÂMPIE",33845,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:37",306,287,0,14,5,234,215,0,14,5,219,15,318,84,3,106,79,1,30
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GENERALĂ FÎNTÎNIŢA",189,"MICEŞTII DE CÂMPIE",33845,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:25",262,249,0,1,12,182,169,0,1,12,175,7,300,118,6,28,32,67,42
