precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
24,IAŞI,"ŞCOALA COSIŢENI",307,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:01:56",276,271,0,5,0,131,126,0,5,0,123,8,300,169,20,12,71,10,9,1
24,IAŞI,"ŞCOALA GIMNAZIALĂ AL. I. CUZA",299,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:55",717,710,2,2,3,251,246,0,2,3,246,5,800,549,38,26,151,13,8,10
24,IAŞI,"ŞCOALA GIMNAZIALĂ AL. I. CUZA",301,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:06",897,894,0,2,1,403,400,0,2,1,392,11,1000,597,44,34,272,10,17,15
24,IAŞI,"ŞCOALA GIMNAZIALĂ AL. I. CUZA",300,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:22",1133,1126,2,1,4,449,445,0,1,3,399,50,1200,751,45,29,295,8,14,8
24,IAŞI,"ŞCOALA GIMNAZIALĂ AL. I. CUZA",302,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:01",1019,1009,1,2,7,499,490,0,2,7,476,23,1100,601,60,43,346,10,10,7
24,IAŞI,"ȘCOALA GIMNAZIALĂ AL.I. CUZA",303,"ORAŞ PODU ILOAIEI",98373,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:18:27",1627,1611,0,5,11,582,566,0,5,11,564,18,1800,1218,85,50,362,25,26,16
24,IAŞI,"ȘCOALA GIMNAZIALĂ AL.I.CUZA",304,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:21",1167,1155,1,3,8,546,535,0,3,8,524,22,1300,754,68,54,358,19,16,9
24,IAŞI,"ŞCOALA GIMNAZIALĂ BUDĂI",306,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:12",823,802,2,5,14,359,340,0,5,14,343,16,900,541,66,26,184,9,48,10
24,IAŞI,"ŞCOALA HENCI",305,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:05:20",500,495,0,4,1,227,222,0,4,1,222,5,500,273,30,46,127,13,4,2
24,IAŞI,"ŞCOALA HOLM",308,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:27:32",259,254,0,5,0,126,121,0,5,0,121,5,333,207,22,22,57,14,5,1
24,IAŞI,"ȘCOALA SCOBÂLȚENI",309,"ORAŞ PODU ILOAIEI",98373,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:31",1017,1011,0,4,2,456,450,0,4,2,433,23,1100,644,120,18,260,17,9,9
