precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONESCU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALǍ ” PETRE ADAMEȘTEANU” TOPORU ( ŞCOALA VECHE)",222,TOPORU,154709,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:05",936,777,4,54,101,667,512,1,54,100,657,10,948,281,657
19,GIURGIU,"ŞCOALA PRIMARA NR. 2 TOMULEŞTI",223,TOPORU,154709,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:44:11",510,423,0,28,59,371,284,0,28,59,371,0,533,162,371
