precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",87,BENESAT,140244,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:22",456,433,1,10,12,333,311,0,10,12,319,14,490,157,1,155,59,22,82,0
33,SĂLAJ,"ŞCOALA PRIMARĂ BENESAT",86,BENESAT,140244,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:00",351,329,0,12,10,252,230,0,12,10,243,9,365,113,13,39,11,14,148,18
33,SĂLAJ,"ŞCOALA PRIMARĂ BIUŞA",88,BENESAT,140244,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:25:18",376,358,0,3,15,290,272,0,3,15,284,6,415,125,106,26,6,3,40,103
