precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",207,CIUDANOVIŢA,52035,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:54:03",111,87,0,21,3,92,69,0,20,3,90,2,102,10,75,9,4,2
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ",206,CIUDANOVIŢA,52035,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:50",385,364,0,17,4,246,225,0,17,4,236,10,383,137,140,37,26,33
