precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAGU NECULAI-DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OJOG ANDRIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","GĂLĂŢANU IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","COCARCIA CONSTANTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi"
4,BACĂU,"ŞCOALA CU CLASELE I-IV ODOBEŞTI",465,ODOBEŞTI,26353,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:03",367,347,0,16,4,233,213,0,16,4,216,17,400,167,3,113,98,2
4,BACĂU,"ŞCOALA CU CLASELE I-VIII CIUTUREŞTI",466,ODOBEŞTI,26353,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:00",632,610,1,18,3,391,370,0,18,3,359,32,700,309,11,272,69,7
4,BACĂU,"ŞCOALA CU CLASELE I-VIII TISA SILVESTRI",467,ODOBEŞTI,26353,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:23:53",940,883,0,48,9,601,544,0,48,9,580,21,900,299,14,417,146,3
