precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA IONEL-VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","NIŢĂ DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUGINĂ CĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢUCHEL GERHARDT-DANIEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR.1",419,ŢEPU,77377,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:27:15",800,728,0,47,25,662,590,0,47,25,590,19,800,191,37,43,311,199
18,GALAŢI,"SCOALA GIMNAZIALĂ TUDOR PAMFILE",418,ŢEPU,77377,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:10",1152,1074,0,49,29,805,727,0,49,29,776,29,1273,468,78,28,339,331
