precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOCONIŢĂ DORU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VERINDEANU PAVEL-PARTIDUL NAȚIONAL LIBERAL-voturi","IENEA-MICLĂU SIMONA-PARTIDUL SOCIAL DEMOCRAT-voturi","ROTARU IOAN-FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL BORLOVENII VECHI",301,PRIGOR,53577,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:42",348,335,0,7,6,225,212,0,7,6,215,10,369,144,2,59,140,14
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC „IOSIF CORIOLAN BURACU” PRIGOR",299,PRIGOR,53577,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:06:35",776,739,0,20,17,556,519,0,20,17,538,18,811,255,26,152,330,30
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ",303,PRIGOR,53577,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:01",136,129,0,3,4,95,88,0,3,4,91,4,142,47,5,42,36,8
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ BORLOVENII NOI",300,PRIGOR,53577,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:55",324,307,0,14,3,180,163,0,14,3,172,8,339,159,2,91,75,4
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ PĂTAȘ",302,PRIGOR,53577,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:10",430,414,0,10,6,252,236,0,10,6,240,12,455,203,1,36,191,12
