precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHISAC CRISTIAN-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","NISTOR ANDREI-IRINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL",113,BRAGADIRU,152234,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:39",930,882,0,7,41,567,519,0,7,41,552,15,970,403,503,49
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL BRAGADIRU",114,BRAGADIRU,152234,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:14",1078,1022,0,6,50,658,602,0,6,50,605,3,1125,517,516,89
36,TELEORMAN,"PRIMĂRIA VECHE",112,BRAGADIRU,152234,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:23",1022,956,0,4,62,603,537,0,4,62,589,14,1050,447,483,106
