precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOARA MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","ALBA FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DEFTA MARIUS-MANOIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMBRAVĂ GABI-PARTIDUL S.O.S. ROMÂNIA-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL BĂCIA",270,BĂCIA,88047,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:06:33",856,843,1,11,1,525,513,0,11,1,511,13,925,401,52,403,43,13
22,HUNEDOARA,"ŞCOALA PRIMARĂ TÂMPA",271,BĂCIA,88047,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:52",659,652,0,7,0,432,425,0,7,0,422,10,711,279,17,355,16,34
22,HUNEDOARA,"ŞCOALA PRIMARĂ TOTIA",272,BĂCIA,88047,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:38:36",96,89,0,7,0,55,48,0,7,0,53,2,100,45,1,45,4,3
