precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BĂRBĂSCU DANIEL-MIHAIL-voturi"
39,VASLUI,"ȘCOALA CU CLASELE I-IV SILIȘTEA",345,IANA,164339,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:48:34",782,778,0,3,1,502,498,0,3,1,478,24,900,398,334,36,91,17
39,VASLUI,"ŞCOALA GIMNAZIALA NR.1 IANA CORP B",342,IANA,164339,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:13:55",958,955,0,1,2,513,510,0,1,2,493,20,1000,487,299,97,56,41
39,VASLUI,"ŞCOALA GIMNAZIALA RECEA",344,IANA,164339,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:38",423,417,0,6,0,221,215,0,6,0,209,12,500,279,139,6,56,8
39,VASLUI,"ŞCOALA PRIMARA HĂLĂREŞTI",343,IANA,164339,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:38:02",807,799,0,8,0,454,446,0,8,0,429,25,900,446,234,59,96,40
39,VASLUI,"ȘCOALA PRIMARĂ VADURILE",346,IANA,164339,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:21:30",242,237,0,5,0,113,108,0,5,0,110,3,232,119,91,6,9,4
