county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-voturi","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-2","PUNGILĂ IACOB-voturi","PUNGILĂ IACOB-mandate-faza-1","PUNGILĂ IACOB-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","HEIM CRISTIAN-ELVIS-voturi","HEIM CRISTIAN-ELVIS-mandate-faza-1","HEIM CRISTIAN-ELVIS-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-g8","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","CRÎŞMARIU GHEORGHE-voturi","CRÎŞMARIU GHEORGHE-mandate-faza-1","CRÎŞMARIU GHEORGHE-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","LIUBA PETRU-OVIDIU-voturi","LIUBA PETRU-OVIDIU-mandate-faza-1","LIUBA PETRU-OVIDIU-mandate-faza-2","UNIUNEA CROAȚILOR DIN ROMÂNIA-voturi","UNIUNEA CROAȚILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA CROAȚILOR DIN ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-mandate-g8","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-g8","FORUMUL CEHILOR DIN ROMÂNIA-voturi","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-1","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-2","RADU PAVEL-LUCIAN-voturi","RADU PAVEL-LUCIAN-mandate-faza-1","RADU PAVEL-LUCIAN-mandate-faza-2","FORUMUL CEHILOR DIN ROMÂNIA-mandate-g8","SPOREA ILIE-voturi","SPOREA ILIE-mandate-faza-1","SPOREA ILIE-mandate-faza-2","PARTIDUL SOLIDARITĂȚII SOCIALE-voturi","PARTIDUL SOLIDARITĂȚII SOCIALE-mandate-faza-1","PARTIDUL SOLIDARITĂȚII SOCIALE-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-mandate-g8","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PLEŞA TRAIAN-ADRIAN-voturi","PLEŞA TRAIAN-ADRIAN-mandate-faza-1","PLEŞA TRAIAN-ADRIAN-mandate-faza-2","ROGIN TUDOR-BOGDAN-voturi","ROGIN TUDOR-BOGDAN-mandate-faza-1","ROGIN TUDOR-BOGDAN-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","AMARIEI VASILE-voturi","AMARIEI VASILE-mandate-faza-1","AMARIEI VASILE-mandate-faza-2","ŢUGUI GHEORGHE-voturi","ŢUGUI GHEORGHE-mandate-faza-1","ŢUGUI GHEORGHE-mandate-faza-2","ŢIŢIRIGĂ DĂNUŢ-CRISTIAN-voturi","ŢIŢIRIGĂ DĂNUŢ-CRISTIAN-mandate-faza-1","ŢIŢIRIGĂ DĂNUŢ-CRISTIAN-mandate-faza-2","ARTENIE ADRIAN-voturi","ARTENIE ADRIAN-mandate-faza-1","ARTENIE ADRIAN-mandate-faza-2","BUTAN SEBASTIAN-DANIEL-voturi","BUTAN SEBASTIAN-DANIEL-mandate-faza-1","BUTAN SEBASTIAN-DANIEL-mandate-faza-2","TAMAŞ GHEORGHE-voturi","TAMAŞ GHEORGHE-mandate-faza-1","TAMAŞ GHEORGHE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","POPA ANTONIE-voturi","POPA ANTONIE-mandate-faza-1","POPA ANTONIE-mandate-faza-2","GALBEN NICOLAE-DAN-voturi","GALBEN NICOLAE-DAN-mandate-faza-1","GALBEN NICOLAE-DAN-mandate-faza-2","PĂTRAŞCU ROMEO-ALEXANDRU-voturi","PĂTRAŞCU ROMEO-ALEXANDRU-mandate-faza-1","PĂTRAŞCU ROMEO-ALEXANDRU-mandate-faza-2","VĂSINCA ANA-voturi","VĂSINCA ANA-mandate-faza-1","VĂSINCA ANA-mandate-faza-2","VIOR DUMITRU-voturi","VIOR DUMITRU-mandate-faza-1","VIOR DUMITRU-mandate-faza-2"
11,CARAŞ-SEVERIN,ARMENIŞ,51243,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:46:38",2025,1924,1,66,34,1500,1400,0,66,34,1447,53,2119,619,72,101,115,131,565,4,0,289,2,0,237,1,1,72,0,1,284,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BĂNIA,51305,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:21:13",1457,1322,0,90,45,1103,968,0,90,45,1068,35,1490,387,53,74,85,93,270,2,1,497,5,0,62,0,1,0,0,0,0,0,0,103,1,0,25,0,0,96,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BĂUŢAR,51332,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:47:32",2115,1994,0,56,65,1421,1300,0,56,65,1374,47,2196,775,68,96,109,124,796,6,0,401,3,0,177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BERLIŞTE,51387,2,FINAL,UAT,CL,CL_CE,"2024-06-14 10:30:22",966,914,0,40,12,605,553,0,40,12,573,32,986,381,28,40,45,60,113,1,1,275,4,1,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,28,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BERZASCA,51449,1,FINAL,UAT,CL,CL_CE,"2024-06-10 18:04:02",2199,2087,6,71,35,1181,1075,0,71,35,1106,43,2297,1148,55,77,88,100,150,1,0,595,5,1,124,1,0,0,0,0,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,1,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BERZOVIA,51500,2,FINAL,UAT,CL,CL_CE,"2024-06-13 20:00:05",3262,3147,2,74,39,1758,1644,1,74,39,1692,61,3470,1717,84,118,135,127,490,3,1,413,3,0,528,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BOLVAŞNIŢA,51546,2,FINAL,UAT,CL,CL_CE,"2024-06-10 21:08:05",1156,1098,0,26,32,837,793,0,26,18,830,7,1210,373,41,58,66,92,207,2,0,150,1,0,195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BOZOVICI,51573,2,FINAL,UAT,CL,CL_CE,"2024-06-20 12:54:12",2398,2274,1,19,104,1325,1201,1,19,104,1271,42,2524,1199,63,88,101,107,65,0,1,847,7,1,271,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,BREBU,51626,2,FINAL,UAT,CL,CL_CE,"2024-06-11 22:44:42",1441,914,0,438,89,1134,607,0,438,89,1103,31,1544,410,55,77,88,122,484,3,1,536,4,0,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CARAŞ-SEVERIN,"BREBU NOU",51662,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:05:48",518,333,7,176,2,341,163,0,176,2,341,0,554,213,17,23,27,37,70,1,1,174,4,1,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
