precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
1,ALBA,"CĂMINUL CULTURAL GĂBUD",328,NOŞLAC,6048,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:03",241,233,0,8,0,121,113,0,8,0,114,7,250,129,7,75,20,10,2
1,ALBA,"CĂMINUL CULTURAL STÂNA DE MUREȘ",329,NOŞLAC,6048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:31",310,293,0,10,7,177,160,0,10,7,172,5,320,143,16,45,46,58,7
1,ALBA,"PRIMĂRIA COMUNEI NOȘLAC",327,NOŞLAC,6048,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:10",976,960,1,9,6,544,529,0,9,6,526,18,1055,511,50,245,141,54,36
