precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISEPCIUC ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂSCOL VASILE-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","RUŞTI LUCIAN-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","FĂGĂRAŞ MARIA-PARTIDUL S.O.S. ROMÂNIA-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL PĂTRĂUȚI",422,PĂTRĂUŢI,149833,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:28",2037,2026,1,3,7,1071,1061,0,3,7,1046,25,2243,1172,833,2,194,17
35,SUCEAVA,"CAMINUL CULTURAL VECHI PATRAUTI",423,PĂTRĂUŢI,149833,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:12:03",2049,2048,0,1,0,1043,1042,0,1,0,847,196,2242,1199,556,16,263,12
