precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","TODEREL IOAN-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",217,"PETRU RAREŞ",34173,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:21:42",707,689,0,6,12,436,418,0,6,12,419,17,752,316,157,7,63,3,91,27,2,48,10,11
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI PETRU RAREŞ",215,"PETRU RAREŞ",34173,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:08:47",1395,1354,3,14,24,826,788,0,14,24,776,50,1550,724,272,25,85,24,80,121,10,50,44,65
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ RETEAG POIENI, CLASELE I - IV",216,"PETRU RAREŞ",34173,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:47:48",746,738,0,4,4,352,344,0,4,4,309,35,800,456,110,13,22,61,8,51,14,14,2,14
