precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP DĂNUŢ-GRUIA-PARTIDUL NAȚIONAL LIBERAL-voturi","KOVACS PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","SZABO LADISLAU-ALEXANDRU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","HAN VASILICA-PARTIDUL S.O.S. ROMÂNIA-voturi","SOOS ANDREI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL CADAR",593,TORMAC,159035,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:50",230,219,0,9,2,127,116,0,9,2,124,3,303,176,41,48,4,13,18
37,TIMIŞ,"CĂMINUL CULTURAL ŞIPET",594,TORMAC,159035,5,PART,PRCNCT,P,P_SV,"2024-06-10 10:21:24",772,743,0,12,17,406,377,0,12,17,397,9,820,414,200,79,9,91,18
37,TIMIŞ,"CĂMINUL CULTURAL TORMAC",592,TORMAC,159035,4,PART,PRCNCT,P,P_SV,"2024-06-10 11:11:30",1437,1402,2,14,19,822,788,1,14,19,799,23,1400,578,307,276,93,30,93
