precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NICULA ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANGHEL MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRE DAN-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL",210,GHIMPEŢENI,130311,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:17",365,340,1,13,11,292,268,0,13,11,286,6,388,96,13,75,198
30,OLT,"ŞCOALA GIMNAZIALĂ GHIMPEŢENI",209,GHIMPEŢENI,130311,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:02",778,724,1,21,32,563,510,0,21,32,546,17,883,270,2,115,429
