precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOBRE TEODOR-PARTIDUL SOCIAL DEMOCRAT-voturi","AGA NEAGU-PARTIDUL NAȚIONAL LIBERAL-voturi","TUVENE VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BAHNĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"GRĂDINIȚA, SAT VETREȘTI-HERĂSTRĂU",232,NISTOREŞTI,177003,3,PART,PRCNCT,P,P_SV,"2024-06-11 18:36:14",779,763,1,3,12,475,460,0,3,12,457,18,853,378,396,11,30,20
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NISTOREȘTI",231,NISTOREŞTI,177003,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:45",834,795,0,3,36,460,421,0,3,36,454,6,913,453,381,22,44,7
