county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-1","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","DEI IACOB-voturi","DEI IACOB-mandate-faza-1","DEI IACOB-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-g8","POTRIVITU VALENTIN-voturi","POTRIVITU VALENTIN-mandate-faza-1","POTRIVITU VALENTIN-mandate-faza-2","CACARAN CRISTIAN-voturi","CACARAN CRISTIAN-mandate-faza-1","CACARAN CRISTIAN-mandate-faza-2","CHICIUC ADRIAN-voturi","CHICIUC ADRIAN-mandate-faza-1","CHICIUC ADRIAN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-1","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","CIORAN DORINA-voturi","CIORAN DORINA-mandate-faza-1","CIORAN DORINA-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","MACHEDON MARIAN-voturi","MACHEDON MARIAN-mandate-faza-1","MACHEDON MARIAN-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","MANOLACHI GICĂ-voturi","MANOLACHI GICĂ-mandate-faza-1","MANOLACHI GICĂ-mandate-faza-2"
38,TULCEA,BAIA,159785,2,FINAL,UAT,CL,CL_CE,"2024-06-13 19:21:31",3873,3621,2,160,90,2618,2374,1,160,83,2559,59,4006,1388,127,179,204,185,1276,6,1,1134,6,0,79,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,BEIDAUD,159847,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:38:35",1280,1248,1,13,18,736,705,0,13,18,693,43,1385,649,34,48,55,63,186,2,1,456,7,0,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,BEŞTEPE,161552,2,FINAL,UAT,CL,CL_CE,"2024-06-13 19:29:35",1406,1372,2,6,26,660,628,0,6,26,635,24,1536,877,31,44,50,57,157,2,1,261,4,0,60,1,0,157,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CARCALIU,159945,2,FINAL,UAT,CL,CL_CE,"2024-06-21 09:35:50",2439,2345,3,34,57,998,907,0,34,57,919,61,2625,1645,45,64,73,81,370,4,0,294,3,1,10,0,0,0,0,0,0,0,0,165,2,0,67,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,"C.A. ROSETTI",159883,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:46:06",589,575,0,10,4,306,292,0,10,4,274,26,618,318,13,19,21,30,64,2,0,94,3,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,40,1,1,18,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CASIMCEA,159963,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:38:27",2225,2135,0,44,46,1434,1344,0,44,46,1378,56,2371,937,68,96,110,124,779,6,0,524,4,0,0,0,0,0,0,0,5,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,"CEAMURLIA DE JOS",160092,2,FINAL,UAT,CL,CL_CE,"2024-06-13 09:55:21",1999,1954,1,10,34,965,921,0,10,34,903,62,2080,1115,45,63,72,79,387,4,1,417,5,0,0,0,0,0,0,0,24,0,0,0,0,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CEATALCHIOI,160047,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:18:22",581,536,1,39,5,421,376,1,39,5,403,18,600,179,20,28,32,44,140,3,0,263,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,CERNA,160127,1,FINAL,UAT,CL,CL_CE,"2024-06-10 22:21:57",3040,2897,6,63,74,1830,1691,2,63,74,1790,40,3217,1386,89,125,143,132,413,3,0,697,5,1,0,0,0,0,0,0,0,0,0,0,0,0,483,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TULCEA,"CHILIA VECHE",160172,2,FINAL,UAT,CL,CL_CE,"2024-06-21 09:48:39",1501,1493,1,1,6,816,808,1,1,6,791,25,1641,824,39,55,63,71,251,3,1,291,4,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,0,0,0,161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
