precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
39,VASLUI,"”SALA TINERETULUI”",414,POGONEŞTI,167259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:27:24",175,164,0,9,2,114,103,0,9,2,110,4,200,86,11,21,38,30,10
39,VASLUI,"SCOALA GIMNAZIALA ”DIMITRIE NEGRUTIU”",413,POGONEŞTI,167259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:01:04",1218,1190,0,6,22,692,664,0,6,22,648,44,1307,615,33,136,392,69,18
