precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BŐJTE CSONGOR-ERNŐ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"CĂMINUL CULTURAL DĂNEȘTI",128,DĂNEŞTI,84237,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:30",972,935,2,0,35,599,564,0,0,35,572,27,995,396,572
21,HARGHITA,"CĂMINUL CULTURAL DĂNEȘTI",127,DĂNEŞTI,84237,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:25",897,873,0,0,24,529,505,0,0,24,512,17,995,466,512
