precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SATULUI ROMÂNESC-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MINCU GHEORGHE-SORINEL-voturi"
3,ARGEŞ,"CĂMIN CULTURAL BRĂDETU",251,BRĂDULEŢ,14753,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:02",286,274,3,5,4,198,187,2,5,4,194,4,300,102,8,54,61,21,18,32
3,ARGEŞ,"CĂMIN CULTURAL BRĂDULEŢ",250,BRĂDULEŢ,14753,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:47",435,424,1,7,3,291,281,0,7,3,280,11,476,185,13,57,111,27,45,27
3,ARGEŞ,"CĂMINUL CULTURAL GALEŞU",252,BRĂDULEŢ,14753,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:27:09",662,647,0,8,7,480,465,0,8,7,472,8,720,240,42,157,192,38,29,14
