precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","FORȚA DREPTEI-voturi","PARTIDUL ACUM-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","STOICA CONSTANTIN-MIRCEA-voturi","BUŞE DANIEL-voturi","ŢIGARET BOGDAN-FLORIN-voturi"
40,VÂLCEA,"CARTIER PETRIŞOR - PT8",49,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:35",1415,1411,0,4,0,563,559,0,4,0,544,19,1600,1018,220,26,113,89,3,17,2,5,43,4,4,7,2,2,4,3
40,VÂLCEA,"COLEGIUL ECONOMIC",54,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:55",1050,1046,1,3,0,509,506,0,3,0,490,19,1160,651,201,30,59,89,0,5,3,4,27,3,3,3,5,1,2,55
40,VÂLCEA,"COLEGIUL ECONOMIC",55,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:35",1055,1038,1,11,5,437,421,0,11,5,429,8,1140,703,208,35,60,73,0,8,2,3,8,0,0,0,3,2,0,27
40,VÂLCEA,"COLEGIUL ECONOMIC",53,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:56",1049,1034,3,12,0,442,434,0,8,0,431,11,1140,698,154,28,58,86,1,5,8,4,13,4,11,3,7,3,3,43
40,VÂLCEA,"COLEGIUL ENERGETIC",1,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:59",1805,1796,4,5,0,762,757,0,5,0,740,22,1970,1208,282,63,120,154,0,20,4,3,40,15,8,7,4,3,6,11
40,VÂLCEA,"COLEGIUL ENERGETIC",2,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:13:05",864,855,3,6,0,401,394,1,6,0,386,11,1040,633,159,29,68,64,1,14,0,3,22,2,7,5,1,4,2,5
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",29,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:36:20",1001,991,0,10,0,479,469,0,10,0,455,12,1090,623,171,42,68,110,0,5,7,4,16,10,0,5,0,4,3,10
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",30,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:11",1331,1319,3,9,0,639,630,0,9,0,628,11,1490,851,251,70,104,110,0,11,8,9,38,4,0,2,7,3,5,6
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",15,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:54:24",769,752,2,15,0,363,348,0,15,0,349,14,830,467,150,28,56,62,0,13,1,7,12,2,3,4,2,1,1,7
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",17,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:48:45",1209,1200,0,9,0,541,532,0,9,0,523,18,1330,789,209,33,94,100,4,13,4,6,13,6,23,1,5,1,3,8
