precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BABA-IANA GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","CRISTEA ION-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","PREDA AURELIAN-ŞTEFAN-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
31,PRAHOVA,"GRADINITA CHIOJDEANCA",372,CHIOJDEANCA,132645,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:01:13",772,720,0,16,36,602,550,0,16,36,586,16,800,198,213,325,48
31,PRAHOVA,"SCOALA TRENU",373,CHIOJDEANCA,132645,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:48",452,431,0,12,9,355,334,0,12,9,342,13,534,179,209,115,18
