precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOROIU CONSTANTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","BORŢA NICUŞOR-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MÎNDRESCU NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STOICA COSTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","VOINEA VIOREL-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ROŞCA MARIAN-FORȚA DREPTEI-voturi","NEDELCU CRISTIAN-NAȚIUNE OAMENI ÎMPREUNĂ-voturi"
40,VÂLCEA,"COLEGIUL NAȚIONAL GIB MIHĂESCU",100,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:47",1357,1345,1,11,0,717,706,0,11,0,699,18,1570,853,14,162,106,220,15,108,74
40,VÂLCEA,"GRĂDINIȚA CAPUL DEALULUI",105,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:44",754,738,2,8,6,387,373,0,8,6,371,16,820,433,4,95,118,70,10,41,33
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",103,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:07",596,588,0,8,0,223,215,0,8,0,204,19,650,427,2,9,19,52,9,103,10
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2",96,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:38",1226,1215,0,11,0,554,543,0,11,0,544,10,1340,786,8,129,115,144,12,88,48
40,VÂLCEA,"GRĂDINIŢA I.C. BRĂTIANU",97,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:33:25",866,858,0,8,0,469,461,0,8,0,436,12,950,502,6,74,128,113,8,68,39
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",94,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:49",1328,1315,3,10,0,596,585,1,10,0,575,21,1450,854,5,119,132,162,2,70,85
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",95,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:28:47",1136,1126,2,8,0,541,533,0,8,0,513,28,1350,809,10,133,118,106,5,74,67
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU - ȘCOALA PROFESIONALĂ",101,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:01",1176,1165,0,11,0,603,592,0,11,0,548,55,1320,717,5,92,125,165,8,101,52
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 5",104,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:42:29",695,690,0,5,0,351,346,0,5,0,337,14,760,409,3,103,39,101,13,46,32
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 8 (BÂRSANU)",102,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:30",841,832,0,7,2,455,446,0,7,2,440,15,920,465,2,100,101,118,6,72,41
40,VÂLCEA,"ŞCOALA NICOLAE BĂLCESCU",99,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:54:06",1190,1173,1,15,1,650,634,0,15,1,640,10,1300,643,6,154,115,169,15,88,93
40,VÂLCEA,"ȘCOALA NICOLAE BĂLCESCU",98,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:22:35",1172,1161,1,10,0,608,598,0,10,0,595,13,1280,672,14,123,112,156,33,95,62
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",93,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:30:23",1170,1159,1,9,1,583,573,0,9,1,570,13,1270,674,22,112,105,166,9,92,64
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",92,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:48:36",1282,1269,0,13,0,669,656,0,13,0,647,22,1400,731,26,131,97,170,19,85,119
40,VÂLCEA,"ȘCOALA ZLĂTĂREI",106,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:49:23",1164,1157,3,4,0,638,633,1,4,0,612,26,1270,632,5,191,76,174,5,74,87
