precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”TEODOR CHINDEA” VOȘLĂBENI",285,VOŞLĂBENI,86339,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:56",1021,955,2,14,50,655,590,1,14,50,631,24,950,295,46,93,76,339,13,64
21,HARGHITA,"ȘCOALA PRIMARĂ ”ION CREANGĂ” IZVORU MUREȘULUI",286,VOŞLĂBENI,86339,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:43",667,623,1,10,33,457,414,0,10,33,446,11,800,343,51,9,273,104,2,7
