precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SOMOGYI LUDOVIC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ERBAŞU MIHAELA-CARMEN-PARTIDUL NAȚIONAL LIBERAL-voturi","FARCAŞ VLAD-PARTIDUL SOCIAL DEMOCRAT-voturi"
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT",473,PALEU,32161,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:54",780,757,9,13,1,503,489,0,13,1,495,8,825,322,90,215,190
5,BIHOR,"ȘCOALA CU CLASELE I-IV",475,PALEU,32161,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:56",459,404,0,33,22,312,257,0,33,22,295,17,438,126,262,25,8
5,BIHOR,"ȘCOALA CU CLASELE I-IV",472,PALEU,32161,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:27",967,926,9,27,5,647,615,0,27,5,632,13,1020,373,328,222,82
5,BIHOR,"ȘCOALA CU CLASELE I-IV",474,PALEU,32161,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:12:24",1010,959,7,31,13,629,585,0,31,13,611,18,1030,401,325,262,24
