precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NAŞCU REMUS-PARTIDUL NAȚIONAL LIBERAL-voturi","BEKE VASILE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
5,BIHOR,"CĂMIN CULTURAL",659,VIIŞOARA,32045,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:54:05",151,146,0,3,2,87,82,0,3,2,85,2,170,83,19,66
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR.1 VIIȘOARA",658,VIIŞOARA,32045,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:59",886,854,4,3,25,685,655,2,3,25,625,25,979,294,127,498
