precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MATEESCU CONSTANTIN-MĂDĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CONSTANTIN DORINEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","MATEESCU MIHAELA-PARTIDUL SOCIAL DEMOCRAT-voturi","LĂPĂDAT ANTON-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CALOTĂ BARBU-PARTIDUL PRO ROMÂNIA-voturi"
17,DOLJ,"GRĂDINIȚA CU PROGRAM NORMAL VALEA LUI PĂTRU",481,SCĂEŞTI,74073,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:16",777,758,0,13,6,465,446,0,13,6,439,26,900,435,50,9,172,203,5
17,DOLJ,"ŞCOALA GENERALĂ SCAEŞTI",480,SCĂEŞTI,74073,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:29",917,844,0,31,42,677,604,0,31,42,654,23,904,227,150,42,316,61,85
